reference_number,title,authors,year,purpose_and_thesis_sections,doi_or_url,citation_source,archived_literature_file,availability_status,verification_note,verified_title,verified_year,open_access_status,download_source,download_url,file_size_bytes,sha256,pdf_readability
11,"Improved GelSight Tactile Sensor for Measuring Geometry and Slip,","S. Dong, W. Yuan, and E. H. Adelson",2017,Chapter 2 Related Work / 2.2 Representative vision-based tactile sensors,https://doi.org/10.1109/IROS.2017.8202149,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/IROS.2017.8202149.,Improved GelSight tactile sensor for measuring geometry and slip,2017,Open access,OpenAlex best OA location,https://arxiv.org/pdf/1708.00922,5514379,9c27d57d760f895d2d90c8c287368ee90580f1f72b8be0d5d7016cd2aa207afb,Readable (8 pages)
12,"GelSlim: A High-Resolution, Compact, Robust, and Calibrated Tactile-Sensing Finger,","E. Donlon, S. Dong, M. Liu, J. Li, E. H. Adelson, and A. Rodriguez",2018,Chapter 2 Related Work / 2.2 Representative vision-based tactile sensors,https://doi.org/10.1109/IROS.2018.8593661,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/IROS.2018.8593661.,"GelSlim: A High-Resolution, Compact, Robust, and Calibrated Tactile-sensing Finger",2018,Open access,OpenAlex best OA location,https://arxiv.org/pdf/1803.00628,2515615,e71d2ab201d4ef70b0b07478b4f51c10e68d32890d253ae08bd3cb0d691e0bb8,Readable (8 pages)
13,"GelSlim 3.0: High-Resolution Measurement of Shape, Force and Slip in a Compact Tactile-Sensing Finger,","I. H. Taylor, S. Dong, and A. Rodriguez",2022,Chapter 2 Related Work / 2.2 Representative vision-based tactile sensors,https://doi.org/10.1109/ICRA46639.2022.9811832,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/ICRA46639.2022.9811832.,"GelSlim 3.0: High-Resolution Measurement of Shape, Force and Slip in a Compact Tactile-Sensing Finger",2022,Open access,arXiv,https://arxiv.org/pdf/2103.12269,10071789,8b7901959812b30324fa47e82a908cf781259ef7c59f41f2fce5b28c36a22cb1,Readable (9 pages)
14,"DIGIT: A Novel Design for a Low-Cost Compact High-Resolution Tactile Sensor with Application to In-Hand Manipulation,",M. Lambeta et al.,2020,"Chapter 2 Related Work / 2.2 Representative vision-based tactile sensors; Chapter 4 Hardware Design and Fabrication / 4.2 Camera, decoder board and LED PCB integration",https://doi.org/10.1109/LRA.2020.2977257,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/LRA.2020.2977257.,DIGIT: A Novel Design for a Low-Cost Compact High-Resolution Tactile Sensor With Application to In-Hand Manipulation,2020,Open access,OpenAlex best OA location,https://arxiv.org/pdf/2005.14679,7098575,dbcae130d003bcea9c4a61075458f3ea11597c60e029c18b88f254958fc97d14,Readable (8 pages)
15,"The TacTip Family: Soft Optical Tactile Sensors with 3D-Printed Biomimetic Morphologies,",B. Ward-Cherrier et al.,2018,Chapter 2 Related Work / 2.2 Representative vision-based tactile sensors,https://doi.org/10.1089/soro.2017.0052,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,04_Reference_Library/Files/REF_15_2018_The_TacTip_Family_Soft_Optical_Tactile_Sensors_with_3D_Printed_Biomimetic_Morpho.pdf,Downloaded and PDF-readable,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1089/soro.2017.0052. OpenAlex best OA location: HTTP Error 403: Forbidden | OpenAlex OA location: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)>,The TacTip Family: Soft Optical Tactile Sensors with 3D-Printed Biomimetic Morphologies,2018,Open access,OpenAlex OA location,https://research-information.bris.ac.uk/ws/files/142140217/Full_text_PDF_final_published_version_.pdf,1378352,b8314c9daeebeed66aa44595ca887f611dfdfd28fda3fe1fcc88d89bf3664c7b,Readable (13 pages)
16,"Combining Finger Vision and Optical Tactile Sensing: Reducing and Handling Errors while Cutting Vegetables,",A. Yamaguchi and C. G. Atkeson,2016,Chapter 2 Related Work / 2.2 Representative vision-based tactile sensors,https://doi.org/10.1109/HUMANOIDS.2016.7803400,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not archived; use authoritative URL,Unavailable after public-source checks,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/HUMANOIDS.2016.7803400. No public PDF URL found,Combining finger vision and optical tactile sensing: Reducing and handling errors while cutting vegetables,2016,Closed/metadata only,,,,,Not downloaded
17,"ReSkin: Versatile, Replaceable, Lasting Tactile Skins,","R. Bhirangi, T. Hellebrekers, C. Majidi, and A. Gupta",2022,Chapter 2 Related Work / 2.2 Representative vision-based tactile sensors,,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.48550/arxiv.2111.00071.,"ReSkin: Versatile, Replaceable, Lasting Tactile Skins",2021,Open access,OpenAlex best OA location,https://arxiv.org/pdf/2111.00071,10198127,b0897a9707c8e32d86856a13328e9197707c10570e12037f54a73d43833c98bd,Readable (11 pages)
18,"DTact: A Vision-Based Tactile Sensor that Measures High-Resolution 3D Geometry Directly from Darkness,","C. Lin, Z. Lin, S. Wang, and H. Xu",2023,Chapter 2 Related Work / 2.2 Representative vision-based tactile sensors,https://doi.org/10.1109/ICRA48891.2023.10160796,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/ICRA48891.2023.10160796.,DTact: A Vision-Based Tactile Sensor that Measures High-Resolution 3D Geometry Directly from Darkness,2023,Open access,arXiv,https://arxiv.org/pdf/2209.13916,1785994,20d0ad3b2d6510dba9e9e7e95caf8790a858bd4ab2e3b2250b7969909818abef,Readable (8 pages)
19,"9DTact: A Compact Vision-Based Tactile Sensor for Accurate 3D Shape Reconstruction and Generalizable 6D Force Estimation,","C. Lin, H. Zhang, J. Xu, L. Wu, and H. Xu",2024,"Chapter 2 Related Work / 2.2 Representative vision-based tactile sensors; Chapter 2 Related Work / 2.3 Shape reconstruction and force estimation; Chapter 4 Hardware Design and Fabrication / 4.1 Adaptation from the original 9DTact design; Chapter 6 Six-Axis Force Platform and Transfer-Learning Study Design / 6.3 Transfer learning from the pretrained 9DTact model; Chapter 7 System Results, Gripper Integration and Discussion / 7.2 Engineering comparison with the original 9DTact",https://doi.org/10.1109/LRA.2023.3339397,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/LRA.2023.3339397.,9DTact: A Compact Vision-Based Tactile Sensor for Accurate 3D Shape Reconstruction and Generalizable 6D Force Estimation,2023,Open access,arXiv,https://arxiv.org/pdf/2308.14277,4267229,1ebc9a2baa86d5a4d5d48c692abb571d0a047db1881f10d20aae7503994065ac,Readable (8 pages)
20,"DelTact: A Vision-Based Tactile Sensor Using a Dense Color Pattern,","G. Zhang, Y. Du, H. Yu, and M. Y. Wang",2022,Chapter 2 Related Work / 2.2 Representative vision-based tactile sensors,https://doi.org/10.1109/LRA.2022.3196141,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/LRA.2022.3196141.,DelTact: A Vision-Based Tactile Sensor Using a Dense Color Pattern,2022,Open access,arXiv,https://arxiv.org/pdf/2202.02179,1918779,ce8c98829c93a40e9857955a73c9d3f8177c409515ddd50ff199916483083e7e,Readable (8 pages)
21,"DenseTact 2.0: Optical Tactile Sensor for Shape and Force Reconstruction,","W. K. Do, B. Jurewicz, and M. Kennedy",2023,Chapter 2 Related Work / 2.2 Representative vision-based tactile sensors,https://doi.org/10.1109/ICRA48891.2023.10161150,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/ICRA48891.2023.10161150.,DenseTact 2.0: Optical Tactile Sensor for Shape and Force Reconstruction,2023,Open access,arXiv,https://arxiv.org/pdf/2209.10122,38167929,f80a58d80cbd2dba1cd41d6738ae606127b234612fd1f4237db8b525d602f578,Readable (7 pages)
22,"Photometric Method for Determining Surface Orientation from Multiple Images,",R. J. Woodham,1980,Chapter 2 Related Work / 2.3 Shape reconstruction and force estimation,https://doi.org/10.1117/12.7972479,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not archived; use authoritative URL,Unavailable after public-source checks,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1117/12.7972479. No public PDF URL found,Photometric Method For Determining Surface Orientation From Multiple Images,1980,Closed/metadata only,,,,,Not downloaded
23,"Dense Tactile Force Estimation Using GelSlim and Inverse FEM,","D. Ma, E. Donlon, S. Dong, and A. Rodriguez",2019,Chapter 2 Related Work / 2.3 Shape reconstruction and force estimation,https://doi.org/10.1109/ICRA.2019.8794113,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/ICRA.2019.8794113.,Dense Tactile Force Estimation using GelSlim and inverse FEM,2019,Open access,Semantic Scholar open-access record,https://cf003.cdn.4science.cloud/4s-assetstore-prod--mit--dspace/129560235830064982905772194779168079914?response-content-type=application%2Fpdf&response-content-disposition=attachment%3B+filename%3D%221810.04621.pdf%22&Expires=1786523587&Signature=FFN7ycKDhvfjeRVRsstKv3jj1FZMMOLEFna3sH4AHbXUv-TAwmxEnmsrcFtIl8hmWE-xcDUeRTdm5iubMnsOip~tzyT74ntXyg9prf6K2zrklznuAAsi10EpOaX6c4dW0z52F9SuotoL1M1p3eoQRb4-q9ROVYL2UIEZorVvgFuWOQxhAc6gK4NqptZH~Ux-oM8E8aFavXKElvpOlo0fFk9ywmSz-y-jncPIWXx9OMO~BIT7j30QpoHQbTgk~iUMI~ARiK0EnZUDzxP9IGSHGPTttILQJ66C3cQn0tSSeg6oYGwuHoPSlnfJRkutw~7yAfxpTrPedT-Ks4oJPxBGgg__&Key-Pair-Id=K1M0LPFHJMTXJX,4350612,a8591ac91391444ba5fcd27a06d7d59db4e424bf23344dfa82e3aaadda7984eb,Readable (7 pages)
24,"Effective Estimation of Contact Force and Torque for Vision-Based Tactile Sensors with Helmholtz–Hodge Decomposition,","Y. Zhang, Z. Kan, Y. Yang, Y. A. Tse, and M. Y. Wang",2019,Chapter 2 Related Work / 2.3 Shape reconstruction and force estimation,https://doi.org/10.1109/LRA.2019.2930477,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/LRA.2019.2930477.,Effective Estimation of Contact Force and Torque for Vision-Based Tactile Sensors With Helmholtz–Hodge Decomposition,2019,Open access,arXiv,https://arxiv.org/pdf/1906.09460,4564062,c72953d8b040360d6e266f1cb8e7c2819dc3cc694a5227615880aba91e982ba0,Readable (8 pages)
25,"More Than a Feeling: Learning to Grasp and Regrasp Using Vision and Touch,",R. Calandra et al.,2018,Chapter 2 Related Work / 2.3 Shape reconstruction and force estimation,https://doi.org/10.1109/LRA.2018.2852779,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/LRA.2018.2852779.,More Than a Feeling: Learning to Grasp and Regrasp Using Vision and Touch,2018,Open access,OpenAlex best OA location,https://arxiv.org/pdf/1805.11085,5331834,d32d6ce83e6932a65b38301edb5f11913316ee7d0d917e9a3a37968d572596de,Readable (8 pages)
26,"Maintaining Grasps within Slipping Bounds by Monitoring Incipient Slip,","S. Dong, D. Ma, E. Donlon, and A. Rodriguez",2019,Chapter 2 Related Work / 2.3 Shape reconstruction and force estimation,https://doi.org/10.1109/ICRA.2019.8793538,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not archived; use authoritative URL,Unavailable after public-source checks,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/ICRA.2019.8793538. No public PDF URL found,Maintaining Grasps within Slipping Bounds by Monitoring Incipient Slip,2019,Closed/metadata only,,,,,Not downloaded
27,"Slip Detection for Grasp Stabilization with a Multifingered Tactile Robot Hand,",J. W. James and N. F. Lepora,2021,Chapter 2 Related Work / 2.3 Shape reconstruction and force estimation,https://doi.org/10.1109/TRO.2020.3031245,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not archived; use authoritative URL,Unavailable after public-source checks,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/TRO.2020.3031245. No public PDF URL found,Slip Detection for Grasp Stabilization With a Multifingered Tactile Robot Hand,2020,Closed/metadata only,,,,,Not downloaded
28,"Densely Connected Convolutional Networks,","G. Huang, Z. Liu, L. van der Maaten, and K. Q. Weinberger",2017,Chapter 6 Six-Axis Force Platform and Transfer-Learning Study Design / 6.3 Transfer learning from the pretrained 9DTact model,https://doi.org/10.1109/CVPR.2017.243,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/CVPR.2017.243.,Densely Connected Convolutional Networks,2017,Open access,arXiv,https://arxiv.org/pdf/1608.06993,1142400,b55aa1adbdf07f731daa84b94d23103d1eb22d1821a556b80212debee69b096d,Readable (9 pages)
29,"FT 300 Force Torque Sensor: Instruction Manual,",Robotiq Inc.,2019,Chapter 6 Six-Axis Force Platform and Transfer-Learning Study Design / 6.1 Customised sensor–FT300 experimental platform,https://assets.robotiq.com/website-assets/support_documents/document/FT_Sensor_Manual_general_PDF_20190625.pdf,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://assets.robotiq.com/website-assets/support_documents/document/FT_Sensor_Manual_general_PDF_20190625.pdf. Identity verified from the official Robotiq PDF title page; generic title-search metadata was discarded.,FT 300 Force Torque Sensor: Instruction Manual,2019,Official public manual,Official Robotiq manual,https://assets.robotiq.com/website-assets/support_documents/document/FT_Sensor_Manual_general_PDF_20190625.pdf,1747554,18572555ede529f1e99b05a6a5a3ce4370c1eee1ca8186eb3e1a0b9ad35e36ea,Readable (58 pages)
30,"9DTact: Official Open-Source Hardware, Software, Dataset and Pretrained Models.","C. Lin, H. Zhang, J. Xu, L. Wu, and H. Xu",TO CONFIRM,"Chapter 4 Hardware Design and Fabrication / 4.1 Adaptation from the original 9DTact design; Chapter 5 Calibration and Shape Reconstruction / 5.1 Calibration challenge introduced by the new camera; Chapter 5 Calibration and Shape Reconstruction / 5.2 Manual 7×9 geometric calibration; Chapter 5 Calibration and Shape Reconstruction / 5.3 RBF rectification and sensing-region selection; Chapter 5 Calibration and Shape Reconstruction / 5.4 Sphere-based depth calibration; Chapter 5 Calibration and Shape Reconstruction / 5.5 Pixel-to-depth mapping and reconstruction method; Chapter 5 Calibration and Shape Reconstruction / 5.7 Discussion of calibration performance and limitations; Chapter 6 Six-Axis Force Platform and Transfer-Learning Study Design / 6.3 Transfer learning from the pretrained 9DTact model; Chapter 7 System Results, Gripper Integration and Discussion / 7.2 Engineering comparison with the original 9DTact",https://github.com/linchangyi1/9DTact,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,04_Reference_Library/Files/REF_30_9DTact_Official_Repository/,Official repository metadata archived,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://github.com/linchangyi1/9DTact. Official project README and LICENSE archived; repository accessed as a source record.,"9DTact: Official Open-Source Hardware, Software, Dataset and Pretrained Models.",2023,Official public repository,Official GitHub repository,https://raw.githubusercontent.com/linchangyi1/9DTact/main/README.md,11025,afce7eb3aae32f8164916622219ebd0d2da2fc03060acefa127259c006c25705,N/A (text source)
31,"Transfer learning for vision-based tactile sensing,",C. Sferrazza and R. D’Andrea,2019,Chapter 6 Six-Axis Force Platform and Transfer-Learning Study Design / 6.3 Transfer learning from the pretrained 9DTact model,https://doi.org/10.1109/IROS40897.2019.8967571,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not included in portfolio; use DOI or source URL,Link only; redistribution permission not established,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/IROS40897.2019.8967571.,Transfer learning for vision-based tactile sensing,2019,Open access,OpenAlex best OA location,https://arxiv.org/pdf/1812.03163,4559114,de7c0740633b668aebb6e998c45e3dcdffc8da69cbb55fcf688c9abac4a938ac,Readable (7 pages)
32,"Deep Domain Adaptation Regression for Force Calibration of Optical Tactile Sensors,","Z. Chen, N. Ou, J. Jiang, and S. Luo",2024,Chapter 6 Six-Axis Force Platform and Transfer-Learning Study Design / 6.3 Transfer learning from the pretrained 9DTact model,https://doi.org/10.1109/IROS58592.2024.10801904,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not archived; use authoritative URL,Unavailable after public-source checks,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/IROS58592.2024.10801904. No public PDF URL found,Deep Domain Adaptation Regression for Force Calibration of Optical Tactile Sensors,2024,Closed/metadata only,,,,,Not downloaded
33,"TransForce: Transferable Force Prediction for Vision-Based Tactile Sensors with Sequential Image Translation,","Z. Chen, N. Ou, X. Zhang, and S. Luo",2025,Chapter 6 Six-Axis Force Platform and Transfer-Learning Study Design / 6.3 Transfer learning from the pretrained 9DTact model,https://doi.org/10.1109/ICRA55743.2025.11127381,01_Thesis/Final/Dissertation_LIU Zhaolin.pdf,Not archived; use authoritative URL,Unavailable after public-source checks,Metadata checked against DOI/OpenAlex or the cited official source. Authoritative URL: https://doi.org/10.1109/ICRA55743.2025.11127381. No public PDF URL found,TransForce: Transferable Force Prediction for Vision-Based Tactile Sensors with Sequential Image Translation,2025,Closed/metadata only,,,,,Not downloaded
