reference_number,indexed_title,verified_title,indexed_year,verified_year,doi,authoritative_url,open_access_status,download_status,download_source,download_url,local_suggested_filename,file_size_bytes,sha256,pdf_readability,notes
23,Dense Tactile Force Estimation Using GelSlim and Inverse FEM,Dense Tactile Force Estimation using GelSlim and inverse FEM,2019,2019,10.1109/ICRA.2019.8794113,https://doi.org/10.1109/ICRA.2019.8794113,Open access,Downloaded and PDF-readable,Semantic Scholar open-access record,https://cf003.cdn.4science.cloud/4s-assetstore-prod--mit--dspace/129560235830064982905772194779168079914?response-content-type=application%2Fpdf&response-content-disposition=attachment%3B+filename%3D%221810.04621.pdf%22&Expires=1786523587&Signature=FFN7ycKDhvfjeRVRsstKv3jj1FZMMOLEFna3sH4AHbXUv-TAwmxEnmsrcFtIl8hmWE-xcDUeRTdm5iubMnsOip~tzyT74ntXyg9prf6K2zrklznuAAsi10EpOaX6c4dW0z52F9SuotoL1M1p3eoQRb4-q9ROVYL2UIEZorVvgFuWOQxhAc6gK4NqptZH~Ux-oM8E8aFavXKElvpOlo0fFk9ywmSz-y-jncPIWXx9OMO~BIT7j30QpoHQbTgk~iUMI~ARiK0EnZUDzxP9IGSHGPTttILQJ66C3cQn0tSSeg6oYGwuHoPSlnfJRkutw~7yAfxpTrPedT-Ks4oJPxBGgg__&Key-Pair-Id=K1M0LPFHJMTXJX,REF_23_2019_Dense_Tactile_Force_Estimation_Using_GelSlim_and_Inverse_FEM.pdf,4350612,a8591ac91391444ba5fcd27a06d7d59db4e424bf23344dfa82e3aaadda7984eb,Readable (7 pages),
24,Effective Estimation of Contact Force and Torque for Vision-Based Tactile Sensors with Helmholtz–Hodge Decomposition,Effective Estimation of Contact Force and Torque for Vision-Based Tactile Sensors With Helmholtz–Hodge Decomposition,2019,2019,10.1109/LRA.2019.2930477,https://doi.org/10.1109/LRA.2019.2930477,Open access,Downloaded and PDF-readable,arXiv,https://arxiv.org/pdf/1906.09460,REF_24_2019_Effective_Estimation_of_Contact_Force_and_Torque_for_Vision_Based_Tact.pdf,4564062,c72953d8b040360d6e266f1cb8e7c2819dc3cc694a5227615880aba91e982ba0,Readable (8 pages),
25,More Than a Feeling: Learning to Grasp and Regrasp Using Vision and Touch,More Than a Feeling: Learning to Grasp and Regrasp Using Vision and Touch,2018,2018,10.1109/LRA.2018.2852779,https://doi.org/10.1109/LRA.2018.2852779,Open access,Downloaded and PDF-readable,OpenAlex best OA location,https://arxiv.org/pdf/1805.11085,REF_25_2018_More_Than_a_Feeling_Learning_to_Grasp_and_Regrasp_Using_Vision_and_Touch.pdf,5331834,d32d6ce83e6932a65b38301edb5f11913316ee7d0d917e9a3a37968d572596de,Readable (8 pages),
26,Maintaining Grasps within Slipping Bounds by Monitoring Incipient Slip,Maintaining Grasps within Slipping Bounds by Monitoring Incipient Slip,2019,2019,10.1109/ICRA.2019.8793538,https://doi.org/10.1109/ICRA.2019.8793538,Closed/metadata only,Unavailable after public-source checks,,,,,,Not downloaded,No public PDF URL found
27,Slip Detection for Grasp Stabilization with a Multifingered Tactile Robot Hand,Slip Detection for Grasp Stabilization With a Multifingered Tactile Robot Hand,2021,2020,10.1109/TRO.2020.3031245,https://doi.org/10.1109/TRO.2020.3031245,Closed/metadata only,Unavailable after public-source checks,,,,,,Not downloaded,No public PDF URL found
28,Densely Connected Convolutional Networks,Densely Connected Convolutional Networks,2017,2017,10.1109/CVPR.2017.243,https://doi.org/10.1109/CVPR.2017.243,Open access,Downloaded and PDF-readable,arXiv,https://arxiv.org/pdf/1608.06993,REF_28_2017_Densely_Connected_Convolutional_Networks.pdf,1142400,b55aa1adbdf07f731daa84b94d23103d1eb22d1821a556b80212debee69b096d,Readable (9 pages),
29,FT 300 Force Torque Sensor: Instruction Manual,FT 300 Force Torque Sensor: Instruction Manual,2019,2019,,https://assets.robotiq.com/website-assets/support_documents/document/FT_Sensor_Manual_general_PDF_20190625.pdf,Official public manual,Downloaded and PDF-readable,Official Robotiq manual,https://assets.robotiq.com/website-assets/support_documents/document/FT_Sensor_Manual_general_PDF_20190625.pdf,REF_29_2019_FT_300_Force_Torque_Sensor__Instruction_Manual.pdf,1747554,18572555ede529f1e99b05a6a5a3ce4370c1eee1ca8186eb3e1a0b9ad35e36ea,Readable (58 pages),Identity verified from the official Robotiq PDF title page; generic title-search metadata was discarded.
30,"9DTact: Official Open-Source Hardware, Software, Dataset and Pretrained Models.","9DTact: Official Open-Source Hardware, Software, Dataset and Pretrained Models.",TO CONFIRM,2023,,https://github.com/linchangyi1/9DTact,Official public repository,Official repository metadata archived,Official GitHub repository,https://raw.githubusercontent.com/linchangyi1/9DTact/main/README.md,REF_30_9DTact_Official_Repository/README.md; LICENSE,11025,afce7eb3aae32f8164916622219ebd0d2da2fc03060acefa127259c006c25705,N/A (text source),Official project README and LICENSE archived; repository accessed as a source record.
31,Transfer learning for vision-based tactile sensing,Transfer learning for vision-based tactile sensing,2019,2019,10.1109/IROS40897.2019.8967571,https://doi.org/10.1109/IROS40897.2019.8967571,Open access,Downloaded and PDF-readable,OpenAlex best OA location,https://arxiv.org/pdf/1812.03163,REF_31_2019_Transfer_learning_for_vision_based_tactile_sensing.pdf,4559114,de7c0740633b668aebb6e998c45e3dcdffc8da69cbb55fcf688c9abac4a938ac,Readable (7 pages),
32,Deep Domain Adaptation Regression for Force Calibration of Optical Tactile Sensors,Deep Domain Adaptation Regression for Force Calibration of Optical Tactile Sensors,2024,2024,10.1109/IROS58592.2024.10801904,https://doi.org/10.1109/IROS58592.2024.10801904,Closed/metadata only,Unavailable after public-source checks,,,,,,Not downloaded,No public PDF URL found
33,TransForce: Transferable Force Prediction for Vision-Based Tactile Sensors with Sequential Image Translation,TransForce: Transferable Force Prediction for Vision-Based Tactile Sensors with Sequential Image Translation,2025,2025,10.1109/ICRA55743.2025.11127381,https://doi.org/10.1109/ICRA55743.2025.11127381,Closed/metadata only,Unavailable after public-source checks,,,,,,Not downloaded,No public PDF URL found
